row_id,ticker/entity,memory_type,statement/text,status,confidence,source_id,source_type,source_title,source_published_at,created_at,updated_at,duplicate_cluster_id,fanout_cluster_size,classification,proposed_action,reason,certainty,risk_level,manual_review_required,original_store,proposed_destination_if_any,sample_review_label,entity_text_present_in_statement,review_note
1823,C79,catalyst,Chrysos Corporation's guidance towards the upper end of their range,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-05T04:21:05+00:00,2026-05-05T04:21:05+00:00,fanout_0038,25,preserve_company_specific,no_action_preserve,"row text explicitly targets CHRYSOS/C79/GCM, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,no,sampled_for_operator_review
1955,C79,risk,Chrysos Corporation's share price reaction to a positive update,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-05T04:21:57+00:00,2026-05-05T04:21:57+00:00,fanout_0039,25,preserve_company_specific,no_action_preserve,"row text explicitly targets CHRYSOS/C79/GCM, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,no,sampled_for_operator_review
1283,4DMEDICAL,operating_context,4DMEDICAL collaborates with GSK on respiratory research,active,0.78,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:08+00:00,2026-05-04T16:12:08+00:00,fanout_0044,8,preserve_company_specific,no_action_preserve,"row text explicitly targets 4DMEDICAL, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
1266,AROVELLA,observed_fact,AROVELLA undergoes major board changes and strategic review,active,0.83,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:05+00:00,2026-05-04T16:12:05+00:00,fanout_0045,8,preserve_company_specific,no_action_preserve,"row text explicitly targets AROVELLA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
1330,AROVELLA,risk,AROVELLA's major board changes and strategic review,active,0.8,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:16+00:00,2026-05-04T16:12:16+00:00,fanout_0046,8,preserve_company_specific,no_action_preserve,"row text explicitly targets AROVELLA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
1301,CSL,observed_fact,CSL faces renewed scrutiny over valuation gaps and growth expectations,active,0.85,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:12+00:00,2026-05-04T16:12:12+00:00,fanout_0047,8,preserve_company_specific,no_action_preserve,"row text explicitly targets CSL, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
1341,CSL,risk,CSL's renewed scrutiny over valuation gaps and growth expectations,active,0.82,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:18+00:00,2026-05-04T16:12:18+00:00,fanout_0048,8,preserve_company_specific,no_action_preserve,"row text explicitly targets CSL, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
1273,EZZ,observed_fact,EZZ enters the wellness market with its MeTime range,active,0.83,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:06+00:00,2026-05-04T16:12:06+00:00,fanout_0049,8,preserve_company_specific,no_action_preserve,"row text explicitly targets EZZ, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
1292,LTR PHARMA,strategic_initiative,LTR PHARMA advances with clinical progress and US expansion,active,0.81,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:10+00:00,2026-05-04T16:12:10+00:00,fanout_0050,8,preserve_company_specific,no_action_preserve,"row text explicitly targets LTR PHARMA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
1319,PARADIGM BIOPHARMACEUTICALS,observed_fact,PARADIGM BIOPHARMACEUTICALS expands share base for growth,active,0.85,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:14+00:00,2026-05-04T16:12:14+00:00,fanout_0051,8,preserve_company_specific,no_action_preserve,"row text explicitly targets PARADIGM BIOPHARMACEUTICALS, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
