row_id,ticker/entity,memory_type,statement/text,status,confidence,source_id,source_type,source_title,source_published_at,created_at,updated_at,duplicate_cluster_id,fanout_cluster_size,classification,proposed_action,reason,certainty,risk_level,manual_review_required,original_store,proposed_destination_if_any
14,AUA,risk,"There is some seasonality in Audeara's cash receipts, with the best quarters being in March",active,0.74,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:36:36+00:00,2026-04-30T07:36:36+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,"row text explicitly targets AUA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
20,ATLASSIAN,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,active,0.82,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,fanout_0007,50,preserve_company_specific,no_action_preserve,"row text explicitly targets ATLASSIAN, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
74,ATLASSIAN,observed_fact,"ATLASSIAN's share price closed at $88.88, which is considered lucky in Chinese culture",active,0.82,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:31+00:00,2026-05-04T08:23:31+00:00,fanout_0024,27,preserve_company_specific,no_action_preserve,"row text explicitly targets ATLASSIAN, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
255,C79,observed_fact,Chrysos Corporation's share price fell 6.39% despite a positive trading update,active,0.8,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:57+00:00,2026-05-04T08:23:57+00:00,fanout_0008,50,preserve_company_specific,no_action_preserve,"row text explicitly targets CHRYSOS/C79/GCM, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
398,ATLASSIAN,catalyst,ATLASSIAN's better-than-expected results,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:20+00:00,2026-05-04T08:24:20+00:00,fanout_0018,41,preserve_company_specific,no_action_preserve,"row text explicitly targets ATLASSIAN, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
471,C79,catalyst,Positive trading update for Chrysos Corporation,active,0.72,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:32+00:00,2026-05-04T08:24:32+00:00,fanout_0016,42,preserve_company_specific,no_action_preserve,"row text explicitly targets CHRYSOS/C79/GCM, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
560,ATLASSIAN,risk,AI fears for ATLASSIAN,active,0.69,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:47+00:00,2026-05-04T08:24:47+00:00,fanout_0023,27,preserve_company_specific,no_action_preserve,"row text explicitly targets ATLASSIAN, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
630,IMPEDIMED,risk,Over issuance of shares by IMPEDIMED,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:58+00:00,2026-05-04T08:24:58+00:00,fanout_0026,27,preserve_company_specific,no_action_preserve,"row text explicitly targets IMPEDIMED, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
717,NAB,observed_fact,"NAB's half-year results were not good, showing very little growth",active,0.79,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:25:13+00:00,2026-05-04T08:25:13+00:00,fanout_0020,34,preserve_company_specific,no_action_preserve,"row text explicitly targets NAB, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1123,C79,risk,Chrysos Corporation's unexpected negative market reaction to a positive update,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:26:55+00:00,2026-05-04T08:26:55+00:00,fanout_0032,26,preserve_company_specific,no_action_preserve,"row text explicitly targets CHRYSOS/C79/GCM, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1266,AROVELLA,observed_fact,AROVELLA undergoes major board changes and strategic review,active,0.83,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:05+00:00,2026-05-04T16:12:05+00:00,fanout_0045,8,preserve_company_specific,no_action_preserve,"row text explicitly targets AROVELLA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1273,EZZ,observed_fact,EZZ enters the wellness market with its MeTime range,active,0.83,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:06+00:00,2026-05-04T16:12:06+00:00,fanout_0049,8,preserve_company_specific,no_action_preserve,"row text explicitly targets EZZ, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1283,4DMEDICAL,operating_context,4DMEDICAL collaborates with GSK on respiratory research,active,0.78,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:08+00:00,2026-05-04T16:12:08+00:00,fanout_0044,8,preserve_company_specific,no_action_preserve,"row text explicitly targets 4DMEDICAL, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1292,LTR PHARMA,strategic_initiative,LTR PHARMA advances with clinical progress and US expansion,active,0.81,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:10+00:00,2026-05-04T16:12:10+00:00,fanout_0050,8,preserve_company_specific,no_action_preserve,"row text explicitly targets LTR PHARMA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1301,CSL,observed_fact,CSL faces renewed scrutiny over valuation gaps and growth expectations,active,0.85,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:12+00:00,2026-05-04T16:12:12+00:00,fanout_0047,8,preserve_company_specific,no_action_preserve,"row text explicitly targets CSL, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1310,RESMED,observed_fact,RESMED delivers strong quarterly growth,active,0.77,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:13+00:00,2026-05-04T16:12:13+00:00,fanout_0052,8,preserve_company_specific,no_action_preserve,"row text explicitly targets RESMED, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1319,PARADIGM BIOPHARMACEUTICALS,observed_fact,PARADIGM BIOPHARMACEUTICALS expands share base for growth,active,0.85,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:14+00:00,2026-05-04T16:12:14+00:00,fanout_0051,8,preserve_company_specific,no_action_preserve,"row text explicitly targets PARADIGM BIOPHARMACEUTICALS, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1330,AROVELLA,risk,AROVELLA's major board changes and strategic review,active,0.8,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:16+00:00,2026-05-04T16:12:16+00:00,fanout_0046,8,preserve_company_specific,no_action_preserve,"row text explicitly targets AROVELLA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1341,CSL,risk,CSL's renewed scrutiny over valuation gaps and growth expectations,active,0.82,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:18+00:00,2026-05-04T16:12:18+00:00,fanout_0048,8,preserve_company_specific,no_action_preserve,"row text explicitly targets CSL, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1534,COH,observed_fact,Cochlear's share price dropped 41% recently,active,0.85,news:art_1820b0ddb372f90339114336,newspaper4k,DATA_MISSING,2026-05-03T19:00:00Z,2026-05-04T17:22:45+00:00,2026-05-04T17:22:45+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,"row text explicitly targets COH, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1535,COH,risk,"Cochlear's CEO, Dig Howitt, may be facing significant pressure following the sharp decline in the company's share price",active,0.8,news:art_1820b0ddb372f90339114336,newspaper4k,DATA_MISSING,2026-05-03T19:00:00Z,2026-05-04T17:22:45+00:00,2026-05-04T17:22:45+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,"row text explicitly targets COH, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1549,BHP,observed_fact,The record share price for BHP looks justifiable due to its copper and potash vision,active,0.85,news:art_b3f267fa6b4ad9e3ddc7d62a,newspaper4k,DATA_MISSING,2026-05-03T07:41:44Z,2026-05-04T17:25:32+00:00,2026-05-04T17:25:32+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,"row text explicitly targets BHP, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1823,C79,catalyst,Chrysos Corporation's guidance towards the upper end of their range,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-05T04:21:05+00:00,2026-05-05T04:21:05+00:00,fanout_0038,25,preserve_company_specific,no_action_preserve,"row text explicitly targets CHRYSOS/C79/GCM, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
1955,C79,risk,Chrysos Corporation's share price reaction to a positive update,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-05T04:21:57+00:00,2026-05-05T04:21:57+00:00,fanout_0039,25,preserve_company_specific,no_action_preserve,"row text explicitly targets CHRYSOS/C79/GCM, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
